"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","1995-02",8.67,
"IRL","LTINT","TOT","PC_PA","M","1995-03",8.8,
"IRL","LTINT","TOT","PC_PA","M","1995-04",8.7,
"IRL","LTINT","TOT","PC_PA","M","1995-05",8.34,
"IRL","LTINT","TOT","PC_PA","M","1995-06",8.26,
"IRL","LTINT","TOT","PC_PA","M","1995-07",8.39,
"IRL","LTINT","TOT","PC_PA","M","1995-08",8.15,
"IRL","LTINT","TOT","PC_PA","M","1995-09",7.96,
"IRL","LTINT","TOT","PC_PA","M","1995-10",7.99,
"IRL","LTINT","TOT","PC_PA","M","1995-11",7.63,
"IRL","LTINT","TOT","PC_PA","M","1995-12",7.38,
"IRL","LTINT","TOT","PC_PA","M","1996-01",7.23,
"IRL","LTINT","TOT","PC_PA","M","1996-02",7.49,
"IRL","LTINT","TOT","PC_PA","M","1996-03",7.82,
"IRL","LTINT","TOT","PC_PA","M","1996-04",7.61,
"IRL","LTINT","TOT","PC_PA","M","1996-05",7.5,
"IRL","LTINT","TOT","PC_PA","M","1996-06",7.62,
"IRL","LTINT","TOT","PC_PA","M","1996-07",7.49,
"IRL","LTINT","TOT","PC_PA","M","1996-08",7.43,
"IRL","LTINT","TOT","PC_PA","M","1996-09",7.21,
"IRL","LTINT","TOT","PC_PA","M","1996-10",6.78,
"IRL","LTINT","TOT","PC_PA","M","1996-11",6.68,
"IRL","LTINT","TOT","PC_PA","M","1996-12",6.61,
"IRL","LTINT","TOT","PC_PA","M","1997-01",6.59,
"IRL","LTINT","TOT","PC_PA","M","1997-02",6.32,
"IRL","LTINT","TOT","PC_PA","M","1997-03",6.62,
"IRL","LTINT","TOT","PC_PA","M","1997-04",6.69,
"IRL","LTINT","TOT","PC_PA","M","1997-05",6.54,
"IRL","LTINT","TOT","PC_PA","M","1997-06",6.49,
"IRL","LTINT","TOT","PC_PA","M","1997-07",6.26,
"IRL","LTINT","TOT","PC_PA","M","1997-08",6.33,
"IRL","LTINT","TOT","PC_PA","M","1997-09",6.1,
"IRL","LTINT","TOT","PC_PA","M","1997-10",5.99,
"IRL","LTINT","TOT","PC_PA","M","1997-11",5.98,
"IRL","LTINT","TOT","PC_PA","M","1997-12",5.61,
"IRL","LTINT","TOT","PC_PA","M","1998-01",5.35,
"IRL","LTINT","TOT","PC_PA","M","1998-02",5.23,
"IRL","LTINT","TOT","PC_PA","M","1998-03",5.08,
"IRL","LTINT","TOT","PC_PA","M","1998-04",5.05,
"IRL","LTINT","TOT","PC_PA","M","1998-05",5.14,
"IRL","LTINT","TOT","PC_PA","M","1998-06",5.03,
"IRL","LTINT","TOT","PC_PA","M","1998-07",4.93,
"IRL","LTINT","TOT","PC_PA","M","1998-08",4.68,
"IRL","LTINT","TOT","PC_PA","M","1998-09",4.38,
"IRL","LTINT","TOT","PC_PA","M","1998-10",4.35,
"IRL","LTINT","TOT","PC_PA","M","1998-11",4.32,
"IRL","LTINT","TOT","PC_PA","M","1998-12",4.02,
"IRL","LTINT","TOT","PC_PA","M","1999-01",3.89,
"IRL","LTINT","TOT","PC_PA","M","1999-02",4.02,
"IRL","LTINT","TOT","PC_PA","M","1999-03",4.19,
"IRL","LTINT","TOT","PC_PA","M","1999-04",3.95,
"IRL","LTINT","TOT","PC_PA","M","1999-05",4.18,
"IRL","LTINT","TOT","PC_PA","M","1999-06",4.59,
"IRL","LTINT","TOT","PC_PA","M","1999-07",4.94,
"IRL","LTINT","TOT","PC_PA","M","1999-08",5.16,
"IRL","LTINT","TOT","PC_PA","M","1999-09",5.34,
"IRL","LTINT","TOT","PC_PA","M","1999-10",5.57,
"IRL","LTINT","TOT","PC_PA","M","1999-11",5.31,
"IRL","LTINT","TOT","PC_PA","M","1999-12",5.39,
"IRL","LTINT","TOT","PC_PA","M","2000-01",5.8,
"IRL","LTINT","TOT","PC_PA","M","2000-02",5.76,
"IRL","LTINT","TOT","PC_PA","M","2000-03",5.58,
"IRL","LTINT","TOT","PC_PA","M","2000-04",5.46,
"IRL","LTINT","TOT","PC_PA","M","2000-05",5.61,
"IRL","LTINT","TOT","PC_PA","M","2000-06",5.43,
"IRL","LTINT","TOT","PC_PA","M","2000-07",5.52,
"IRL","LTINT","TOT","PC_PA","M","2000-08",5.47,
"IRL","LTINT","TOT","PC_PA","M","2000-09",5.52,
"IRL","LTINT","TOT","PC_PA","M","2000-10",5.46,
"IRL","LTINT","TOT","PC_PA","M","2000-11",5.4,
"IRL","LTINT","TOT","PC_PA","M","2000-12",5.14,
"IRL","LTINT","TOT","PC_PA","M","2001-01",5.03,
"IRL","LTINT","TOT","PC_PA","M","2001-02",5.01,
