short_rate(t),short_rate(t+5y)
2.74,1.97
2.59,1.98
2.61,1.95
2.67,1.96
2.64,1.95
2.64,1.95
2.65,1.94
2.64,1.93
2.65,1.88
2.66,1.88
2.66,1.91
2.64,1.93
2.65,2.01
2.64,2.02
2.64,2.01
2.64,1.94
2.64,1.91
2.65,1.9
2.67,1.89
2.66,1.98
2.73,1.98
2.88,1.91
2.93,1.9
3.05,1.88
3.24,1.81
3.38,1.72
3.52,1.6
3.67,1.55
3.69,1.25
3.71,1.15
3.68,1.05
3.67,1.18
3.67,1.23
3.67,1.27
3.63,1.18
3.63,0.71
3.63,0.39
3.53,0.26
3.33,0.28
3.13,0.3
2.95,0.29
2.85,0.3
2.86,0.27
2.89,0.27
2.79,0.26
2.73,0.28
2.62,0.28
10.5,10.1705
11.2,10.2117
10.4,10.1769
10.2,10.204
10,10.2401
9.7,10.5422
10,10.6461
9.9,11.1935
9.8,12.7614
10.2,13.0114
9.9,12.9896
9.5,18.1473
8.9,14.4453
8.7,17.3233
8.9,13.3702
9.5,10.6509
9,9.1857
8.6712,8.1474
8.2783,10.6902
8.1936,12.0789
8.1073,10.1565
8.0878,8.6859
8.1186,8.0077
8.0528,7.5177
8.1129,6.3879
8.2852,6.3788
8.3805,6.2234
8.9161,6.1812
9.2738,5.9357
9.3735,6.2206
9.59,6.133
9.3913,6.6043
9.7478,6.605
11.3224,6.4304
12.1953,6.3276
12.1176,6.1981
12.1989,6.1983
12.3883,5.9692
12.1172,7.318
11.3846,7.0656
10.7634,6.7876
10.7122,6.7246
10.3203,6.5395
10.5333,6.0749
10.7633,5.7117
10.428,5.7314
10.4801,5.3675
10.5174,4.9978
10.6044,4.5421
10.3399,4.4518
10.1357,4.3414
10.0008,3.948
9.7708,3.8435
9.5049,3.9597
9.4789,3.9285
9.6989,3.9159
9.8296,3.833
9.678,3.6727
9.4881,3.6687
9.889,3.6461
10.1705,3.633
10.2117,3.6232
10.1769,3.6769
10.204,3.6727
10.2401,3.633
10.5422,3.6215
10.6461,3.621
11.1935,3.6545
12.7614,3.6654
13.0114,3.9343
12.9896,4.0112
18.1473,4.022
14.4453,3.9297
17.3233,3.8783
13.3702,3.8803
10.6509,3.9228
9.1857,4.5686
8.1474,4.1395
10.6902,4.1745
12.0789,4.3344
10.1565,4.912
8.6859,4.848
8.0077,4.4296
7.5177,4.2318
6.3879,3.869
6.3788,3.615
6.2234,3.459
6.1812,3.1213
5.9357,3.108
6.2206,3.1266
6.133,3.1731
6.6043,3.2069
6.605,3.1756
6.4304,3.6907
6.3276,3.8526
6.1981,3.7988
6.1983,3.7165
5.9692,3.9332
7.318,4.1848
7.0656,4.3271
6.7876,4.6999
6.7246,5.1762
6.5395,5.7755
6.0749,5.6575
5.7117,6.1017
5.7314,5.553
5.3675,5.4961
4.9978,5.3859
4.5421,5.342
4.4518,5.272
4.3414,5.1622
3.948,5.1257
3.8435,5.1075
3.9597,4.9618
3.9285,4.9324
3.9159,4.8076
3.833,4.4334
3.6727,3.9596
3.6687,3.701
3.6461,3.6365
3.633,3.6348
3.6232,3.6046
3.6769,3.6376
3.6727,3.6666
3.633,3.7262
3.6215,3.7322
3.621,3.678
3.6545,3.579
3.6654,3.4523
3.9343,3.4359
4.0112,3.3108
4.022,3.0713
3.9297,2.9731
3.8783,2.8343
3.8803,2.6663
3.9228,2.668
4.5686,2.5404
4.1395,2.2132
4.1745,2.1779
4.3344,2.185
4.912,2.186
4.848,2.1955
4.4296,2.2126
4.2318,2.2246
3.869,2.1933
3.615,2.1793
3.459,2.1447
3.1213,2.1688
3.108,2.1964
3.1266,2.2099
3.1731,2.2183
3.2069,2.2088
3.1756,2.2108
3.6907,2.2057
3.8526,2.2064
3.7988,2.1976
3.7165,2.1958
3.9332,2.1894
4.1848,2.186
4.3271,2.181
4.6999,2.1759
5.1762,2.1609
5.7755,2.1628
5.6575,2.1729
6.1017,2.1766
5.553,2.2178
5.4961,2.3908
5.3859,2.4802
5.342,2.5246
5.272,2.6574
5.1622,2.8477
5.1257,2.9226
5.1075,2.9779
4.9618,3.0805
4.9324,3.2044
4.8076,3.3311
4.4334,3.4463
3.9596,3.6145
3.701,3.7245
3.6365,3.8371
3.6348,3.9204
3.6046,3.9949
3.6376,4.0726
3.6666,4.1684
3.7262,4.2832
3.7322,4.373
3.678,4.4158
3.579,4.6605
3.4523,4.8493
3.4359,4.8356
3.3108,4.8184
3.0713,4.9196
2.9731,4.7199
2.8343,4.6148
2.6663,4.8007
2.668,4.9955
2.5404,5.1507
2.2132,5.3286
2.1779,5.3789
2.185,5.3833
2.186,5.4176
2.1955,5.9903
2.2126,6.0757
2.2246,5.3699
2.1933,4.4204
2.1793,3.8595
2.1447,3.2773
2.1688,2.9361
2.1964,2.6695
2.2099,2.3308
2.2183,2.0642
2.2088,1.938
2.2108,1.7625
2.2057,1.5828
2.2064,1.5587
2.1976,1.5521
2.1958,1.4587
2.1894,1.3927
2.186,1.3717
2.181,1.2835
2.1759,1.252
2.1609,1.152
2.1628,1.1341
2.1729,1.1451
2.1766,1.146
2.2178,1.1913
2.3908,1.2388
2.4802,1.2117
2.5246,1.2161
2.6574,1.2398
2.8477,1.3074
2.9226,1.4083
2.9779,1.457
3.0805,1.5136
3.2044,1.6625
3.3311,1.6041
3.4463,1.4366
3.6145,1.3974
3.7245,1.2877
3.8371,1.0837
3.9204,1.0069
3.9949,1.0007
4.0726,0.9878
4.1684,0.9652
4.2832,0.9009
4.373,0.6214
4.4158,0.4068
4.6605,0.3124
4.8493,0.3217
4.8356,0.3345
4.8184,0.3009
4.9196,0.2771
4.7199,0.3051
4.6148,0.3285
4.8007,0.2743
4.9955,0.26
5.1507,0.2403
5.3286,0.2582
5.3789,0.2684
5.3833,0.2681
5.4176,0.2711
5.9903,0.273
6.0757,0.2536
5.3699,0.2585
4.4204,0.28
3.8595,0.27
3.2773,0.29
2.9361,0.31
2.6695,0.35
2.3308,0.36
2.0642,0.38
1.938,0.37
1.7625,0.28
1.5828,0.3
1.5587,0.3
1.5521,0.3
1.4587,0.18
1.3927,-0.33
1.3717,-0.19
1.2835,-0.19
1.252,-0.18
1.152,-0.2
1.1341,-0.16
1.1451,-0.07
1.146,-0.01
1.1913,-0.07
1.2388,-0.14
1.2117,-0.13
1.2161,-0.06
1.2398,-0.08
1.3074,-0.13
1.4083,-0.09
1.457,-0.09
